0,Team,Lineup,P1 D-RAPTOR,P2 D-RAPTOR,P3 D-RAPTOR,P4 D-RAPTOR,P5 D-RAPTOR,AVG D-RAPTOR,P1 SY Q-RAD,P2 SY Q-RAD,P3 SY Q-RAD,P4 SY Q-RAD,P5 SY Q-RAD,AVG SY Q-RAD,imgs
1,ATL,T.Young-D.Bembry-T.Prince-J.Collins-D.Dedmon,-4.5,1.1,-1.9,-0.5,1.2,-0.92,3,-0.05,-0.12,1.46,0.12,0.882,http://assets.stickpng.com/thumbs/58419be4a6515b1e0ad75a58.png
2,BOS,K.Irving-G.Hayward-J.Tatum-M.Morris-A.Horford,1.1,0.1,0.6,-2.3,1.4,0.18,-0.84,1.7,0.61,-1.14,-0.64,-0.062,http://assets.stickpng.com/thumbs/58419c6aa6515b1e0ad75a61.png
3,BKN,D.Russell-S.Dinwiddie-J.Harris-D.Carroll-J.Allen,-0.6,-0.7,-0.5,-0.4,-2.8,-1,-0.26,-0.87,-1.35,1.32,1.01,-0.03,http://assets.stickpng.com/thumbs/58419c7ba6515b1e0ad75a62.png
4,CHA,T.Parker-M.Monk-M.Bridges-M.Kidd-Gilchrist-W.Hernangomez,-3.1,-3.7,-0.7,2,-4,-1.9,0.1,1.47,1.59,-2.5,-0.85,-0.038,http://assets.stickpng.com/thumbs/58419bd7a6515b1e0ad75a57.png
5,CHI,R.Arcidiacono-Z.LaVine-O.Porter-L.Markkanen-R.Lopez,-0.4,-2.3,1.3,-0.8,-0.2,-0.48,-0.45,-0.87,-1.59,3.87,-5.37,-0.882,http://assets.stickpng.com/thumbs/58419cf6a6515b1e0ad75a6b.png
6,CLE,C.Sexton-R.Hood-D.Nwaba-C.Osman-T.Thompson,-5.5,-0.8,1.2,-2.8,1,-1.38,-0.08,0.8,-0.35,1.18,-0.15,0.28,http://assets.stickpng.com/thumbs/58419c8da6515b1e0ad75a63.png
7,DAL,D.Smith-W.Matthews-D.Finney-Smith-H.Barnes-D.Jordan,1.2,-0.3,1.7,-0.4,0.7,0.58,0.35,0.35,0.67,-0.32,-4.29,-0.648,http://assets.stickpng.com/thumbs/58419cd6a6515b1e0ad75a68.png
8,DEN,J.Murray-M.Beasley-T.Craig-P.Millsap-N.Jokic,0.1,-0.9,0,3,1.8,0.8,3.04,1.72,1.68,1.61,-0.95,1.42,http://assets.stickpng.com/thumbs/58419b70a6515b1e0ad75a50.png
9,DET,R.Jackson-W.Ellington-L.Kennard-B.Griffin-A.Drummond,-2.2,0,-1.9,0.4,3.1,-0.12,0.89,-0.33,1.79,-2.66,0.22,-0.018,http://assets.stickpng.com/thumbs/58419c4ca6515b1e0ad75a5f.png
10,GSW,S.Curry-K.Thompson-A.Iguodala-K.Durant-D.Green,0.7,-0.8,1.6,-0.2,3.5,0.96,-0.87,1.13,-0.76,-2.24,-2.77,-1.102,http://assets.stickpng.com/thumbs/58419ce2a6515b1e0ad75a69.png
11,HOU,J.Harden-A.Rivers-G.Green-P.Tucker-C.Capela,1.1,-1,-2.3,1.8,2.1,0.34,2.68,-0.2,2.96,0.96,-0.43,1.194,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Rockets.svg/1200px-Houston_Rockets.svg.png
12,IND,C.Joseph-T.Evans-D.McDermott-T.Young-D.Sabonis,2.5,0.5,-2.4,1.7,0.3,0.52,-0.56,0.61,-0.82,-1.05,-1.32,-0.628,http://assets.stickpng.com/thumbs/58419b8da6515b1e0ad75a52.png
13,LAC,P.Beverley-L.Williams-L.Shamet-D.Gallinari-M.Harrell ,1.1,-3.7,-1,0.2,1.2,-0.44,-0.59,0.56,0.2,-0.81,-0.05,-0.138,http://assets.stickpng.com/thumbs/58419c59a6515b1e0ad75a60.png
14,LAL,L.Ball-B.Ingram-L.James-K.Kuzma-I.Zubac,0.8,-0.7,0.2,-0.7,1.7,0.26,0.21,2.44,-0.84,2.12,0.89,0.964,http://assets.stickpng.com/thumbs/58419d0aa6515b1e0ad75a6c.png
15,MEM,M.Conley-G.Temple-K.Anderson-J.Jackson-M.Gasol,1.7,0.7,2.2,1.8,3.9,2.06,1.15,-0.31,-0.25,0.43,-0.1,0.184,http://assets.stickpng.com/thumbs/58419c00a6515b1e0ad75a5a.png
16,MIA,D.Wade-R.McGruder-J.Winslow-K.Olynyk-B.Adebayo,-2.1,0.2,0.3,0.7,2.7,0.36,1.82,0.68,-1.77,0.44,-1.6,-0.086,https://cdn.freebiesupply.com/images/large/2x/miami-heat-logo-transparent.png
17,MIL,E.Bledsoe-K.Middleton-G.Antetokounmpo-E.Ilyasova-B.Lopez,2.2,0.9,2.6,2.8,0.9,1.88,-1.04,-0.59,-2.15,-1.48,-4.2,-1.892,http://assets.stickpng.com/thumbs/58419ba7a6515b1e0ad75a54.png
18,MIN,T.Jones-A.Wiggins-R.Covington-T.Gibson-K.Towns,0.1,-0.9,3.5,-1.6,0,0.22,0.65,1.12,-0.01,1.58,1.22,0.912,http://assets.stickpng.com/thumbs/58419bc5a6515b1e0ad75a56.png
19,NOP,E.Payton-J.Holiday-E.Moore-N.Mirotic-A.Davis,-1.1,1.5,-2.2,1.4,3.3,0.58,2.17,0.97,-0.01,2.01,-4.38,0.152,http://assets.stickpng.com/thumbs/58419b9ba6515b1e0ad75a53.png
20,NYK,F.Ntilikina-D.Dotson-T.Hardaway-N.Vonleh-M.Robinson,-0.4,-1.2,-0.7,0.9,0.9,-0.1,0.47,1.38,1.7,-0.3,1.56,0.962,http://assets.stickpng.com/thumbs/58419cc8a6515b1e0ad75a67.png
21,OKC,D.Schroder-T.Ferguson-P.George-J.Grant-S.Adams,-0.6,-1.4,3.8,1.1,1.9,0.96,1.46,0.63,0.26,0.28,1.15,0.756,http://assets.stickpng.com/thumbs/58419c20a6515b1e0ad75a5c.png
22,ORL,M.Carter-Williams-T.Ross-E.Fournier-A.Gordon-K.Birch,0.4,-0.3,-0.5,0.7,3.6,0.78,0.77,-1.38,-0.1,-1.47,-0.29,-0.494,http://assets.stickpng.com/thumbs/58419b7da6515b1e0ad75a51.png
23,PHI,B.Simmons-J.Redick-J.Butler-T.Harris-J.Embiid,-1.4,-0.5,1.7,-0.6,3.6,0.56,2.69,0.63,-0.9,-0.57,-4.81,-0.592,http://assets.stickpng.com/thumbs/58419ca3a6515b1e0ad75a64.png
24,PHX,T.Johnson-D.Booker-M.Bridges-K.Oubre-D.Ayton,0,-3,1.1,0.5,-1.7,-0.62,-1.36,4.78,0.68,2.35,3.04,1.898,http://assets.stickpng.com/thumbs/58419d52a6515b1e0ad75a6d.png
25,POR,D.Lillard-C.McCollum-S.Curry-A.Aminu-J.Nurkic,-0.4,-0.1,0.1,0.9,5.2,1.14,0.45,-0.31,-2.66,0.23,-2.64,-0.986,http://assets.stickpng.com/thumbs/58419c2fa6515b1e0ad75a5d.png
26,SAC,D.Fox-B.Hield-J.Jackson-N.Bjelica-W.Cauley-Stein,-0.1,-0.8,-1,1,1.5,0.12,2.27,2.29,1.44,-0.22,0.73,1.302,http://assets.stickpng.com/thumbs/58419c3da6515b1e0ad75a5e.png
27,SAS,D.White-B.Forbes-D.DeRozan-D.Bertans-L.Aldridge,3,-2.4,-0.9,1.2,1.2,0.42,-1.01,-1.95,0.27,-0.76,-2.7,-1.23,http://assets.stickpng.com/thumbs/58419cbca6515b1e0ad75a66.png
28,TOR,K.Lowry-D.Green-K.Leonard-P.Siakam-J.Valanciunas,1.9,1.7,0.7,1.2,1,1.3,1.15,-1.69,1.5,0.43,-2.65,-0.252,http://assets.stickpng.com/thumbs/58419bf3a6515b1e0ad75a59.png
29,UTA,R.Rubio-D.Mitchell-R.O'Neal-T.Sefolosha-R.Gobert,1.2,-0.7,2.1,4.2,5.1,2.38,-1.18,-1.46,-1.3,1.62,-4.02,-1.268,http://assets.stickpng.com/thumbs/58419bb6a6515b1e0ad75a55.png
30,WAS,J.Wall-B.Beal-O.Porter-J.Green-M.Morris,-1.9,-0.9,1.3,-0.9,-1.1,-0.7,1.33,2.35,-1.59,-1.36,-2.92,-0.438,http://assets.stickpng.com/thumbs/58419c12a6515b1e0ad75a5b.png
